azure_cost_id,week_start,service,amount_usd,amount_chf,currency,settlement_status,source
AZ-2026-06-29-MicrosoftFa,2026-06-29,Microsoft Fabric,5.83,5.13,USD,settled,ActualCost
AZ-2026-07-06-MicrosoftFa,2026-07-06,Microsoft Fabric,53.01,46.65,USD,settled,ActualCost
AZ-2026-07-13-MicrosoftFa,2026-07-13,Microsoft Fabric,42.59,37.48,USD,settled,ActualCost
AZ-2026-07-20-MicrosoftFa,2026-07-20,Microsoft Fabric,100.87,88.77,USD,settled,ActualCost
AZ-2026-07-27-MicrosoftFa,2026-07-27,Microsoft Fabric,16.55,14.56,USD,provisional,ActualCost
AZ-2026-06-29-LogAnalytic,2026-06-29,Log Analytics,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-LogAnalytic,2026-07-06,Log Analytics,8.19,7.21,USD,settled,ActualCost
AZ-2026-07-13-LogAnalytic,2026-07-13,Log Analytics,15.62,13.75,USD,settled,ActualCost
AZ-2026-07-20-LogAnalytic,2026-07-20,Log Analytics,36.73,32.32,USD,settled,ActualCost
AZ-2026-07-27-LogAnalytic,2026-07-27,Log Analytics,9.39,8.26,USD,provisional,ActualCost
AZ-2026-06-29-AzureContai,2026-06-29,Azure Container Apps,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-AzureContai,2026-07-06,Azure Container Apps,2.1,1.85,USD,settled,ActualCost
AZ-2026-07-13-AzureContai,2026-07-13,Azure Container Apps,11.75,10.34,USD,settled,ActualCost
AZ-2026-07-20-AzureContai,2026-07-20,Azure Container Apps,26.89,23.66,USD,settled,ActualCost
AZ-2026-07-27-AzureContai,2026-07-27,Azure Container Apps,6.33,5.57,USD,provisional,ActualCost
AZ-2026-06-29-AzureCosmos,2026-06-29,Azure Cosmos DB,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-AzureCosmos,2026-07-06,Azure Cosmos DB,3.94,3.47,USD,settled,ActualCost
AZ-2026-07-13-AzureCosmos,2026-07-13,Azure Cosmos DB,8.83,7.77,USD,settled,ActualCost
AZ-2026-07-20-AzureCosmos,2026-07-20,Azure Cosmos DB,18.06,15.89,USD,settled,ActualCost
AZ-2026-07-27-AzureCosmos,2026-07-27,Azure Cosmos DB,4.22,3.71,USD,provisional,ActualCost
AZ-2026-06-29-EventHubs,2026-06-29,Event Hubs,1.83,1.61,USD,settled,ActualCost
AZ-2026-07-06-EventHubs,2026-07-06,Event Hubs,9.15,8.05,USD,settled,ActualCost
AZ-2026-07-13-EventHubs,2026-07-13,Event Hubs,9.81,8.63,USD,settled,ActualCost
AZ-2026-07-20-EventHubs,2026-07-20,Event Hubs,10.09,8.88,USD,settled,ActualCost
AZ-2026-07-27-EventHubs,2026-07-27,Event Hubs,1.44,1.27,USD,provisional,ActualCost
AZ-2026-06-29-ContainerRe,2026-06-29,Container Registry,4.58,4.03,USD,settled,ActualCost
AZ-2026-07-06-ContainerRe,2026-07-06,Container Registry,9.35,8.23,USD,settled,ActualCost
AZ-2026-07-13-ContainerRe,2026-07-13,Container Registry,8.75,7.7,USD,settled,ActualCost
AZ-2026-07-20-ContainerRe,2026-07-20,Container Registry,5.83,5.13,USD,settled,ActualCost
AZ-2026-07-27-ContainerRe,2026-07-27,Container Registry,0.85,0.75,USD,provisional,ActualCost
