template_id,applies_to_type,applies_to_id,skill_id,min_proficiency,min_assurance,is_mandatory,rationale
TMPL-001,occupation,OCC-RN,SK-LIC-NURSE,3,L4,TRUE,Sicherheitskritisch
TMPL-002,occupation,OCC-RN,SK-MEDADMIN,2,L1,TRUE,Sicherheitskritisch
TMPL-003,occupation,OCC-RN,SK-BLS,2,L2,TRUE,Sicherheitskritisch
TMPL-004,occupation,OCC-RN,SK-IPC,2,L2,TRUE,Sicherheitskritisch
TMPL-005,occupation,OCC-RN,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-006,occupation,OCC-RN,SK-DOC,2,L1,FALSE,Kernkompetenz Rolle
TMPL-007,occupation,OCC-ICU-RN,SK-LIC-NURSE,3,L4,TRUE,Sicherheitskritisch
TMPL-008,occupation,OCC-ICU-RN,SK-NDS-IPS,3,L3,TRUE,Sicherheitskritisch
TMPL-009,occupation,OCC-ICU-RN,SK-VENT,2,L2,TRUE,Sicherheitskritisch
TMPL-010,occupation,OCC-ICU-RN,SK-HAEMO,2,L1,TRUE,Sicherheitskritisch
TMPL-011,occupation,OCC-ICU-RN,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
TMPL-012,occupation,OCC-ICU-RN,SK-BLS,2,L2,TRUE,Sicherheitskritisch
TMPL-013,occupation,OCC-ICU-RN,SK-IPC,2,L2,TRUE,Sicherheitskritisch
TMPL-014,occupation,OCC-ICU-RN,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-015,occupation,OCC-ANAES-RN,SK-LIC-NURSE,3,L4,TRUE,Sicherheitskritisch
TMPL-016,occupation,OCC-ANAES-RN,SK-NDS-ANAES,3,L3,TRUE,Sicherheitskritisch
TMPL-017,occupation,OCC-ANAES-RN,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
TMPL-018,occupation,OCC-ANAES-RN,SK-BLS,2,L2,TRUE,Sicherheitskritisch
TMPL-019,occupation,OCC-ANAES-RN,SK-IPC,2,L2,TRUE,Sicherheitskritisch
TMPL-020,occupation,OCC-ANAES-RN,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-021,occupation,OCC-ER-RN,SK-LIC-NURSE,3,L4,TRUE,Sicherheitskritisch
TMPL-022,occupation,OCC-ER-RN,SK-NDS-NOTF,3,L3,TRUE,Sicherheitskritisch
TMPL-023,occupation,OCC-ER-RN,SK-TRIAGE,2,L1,TRUE,Sicherheitskritisch
TMPL-024,occupation,OCC-ER-RN,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
TMPL-025,occupation,OCC-ER-RN,SK-PALS,2,L2,TRUE,Sicherheitskritisch
TMPL-026,occupation,OCC-ER-RN,SK-BLS,2,L2,TRUE,Sicherheitskritisch
TMPL-027,occupation,OCC-ER-RN,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-028,occupation,OCC-SCRUB,SK-LIC-OTA,3,L4,TRUE,Sicherheitskritisch
TMPL-029,occupation,OCC-SCRUB,SK-SCRUB,2,L1,TRUE,Sicherheitskritisch
TMPL-030,occupation,OCC-SCRUB,SK-IPC,2,L2,TRUE,Sicherheitskritisch
TMPL-031,occupation,OCC-SCRUB,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-032,occupation,OCC-MTRA,SK-LIC-MTRA,3,L4,TRUE,Sicherheitskritisch
TMPL-033,occupation,OCC-MTRA,SK-RADPROT,2,L2,TRUE,Sicherheitskritisch
TMPL-034,occupation,OCC-MTRA,SK-CT,2,L1,TRUE,Sicherheitskritisch
TMPL-035,occupation,OCC-MTRA,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-036,occupation,OCC-PARA,SK-LIC-PARA,3,L4,TRUE,Sicherheitskritisch
TMPL-037,occupation,OCC-PARA,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
TMPL-038,occupation,OCC-PARA,SK-TRIAGE,2,L1,TRUE,Sicherheitskritisch
TMPL-039,occupation,OCC-PARA,SK-BLS,2,L2,TRUE,Sicherheitskritisch
TMPL-040,occupation,OCC-PARA,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-041,occupation,OCC-MIDWIFE,SK-LIC-MIDWIFE,3,L4,TRUE,Sicherheitskritisch
TMPL-042,occupation,OCC-MIDWIFE,SK-OBST,2,L4,TRUE,Sicherheitskritisch
TMPL-043,occupation,OCC-MIDWIFE,SK-BLS,2,L2,TRUE,Sicherheitskritisch
TMPL-044,occupation,OCC-MIDWIFE,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-045,occupation,OCC-PHYS-ANAES,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-046,occupation,OCC-PHYS-ANAES,SK-FMH-ANAES,2,L3,TRUE,Sicherheitskritisch
TMPL-047,occupation,OCC-PHYS-ANAES,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
