eligibility_id,employee_id,worker_gln,unit_id,tenant_id,is_eligible,limiting_factor,nearest_cert_expiry,computed_at
ELIG-00001,EMP-CN-0007,7601190000073,CN-D1-U02,CN,FALSE,fehlt: SK-ACLS,,2026-07-19
ELIG-00002,EMP-CN-0013,7601190000134,CN-D3-U01,CN,FALSE,fehlt: SK-ONCO-NURSE,,2026-07-19
ELIG-00003,EMP-CN-0014,7601190000141,CN-D3-U01,CN,FALSE,fehlt: SK-ONCO-NURSE,,2026-07-19
ELIG-00004,EMP-CN-0015,7601190000158,CN-D3-U01,CN,FALSE,fehlt: SK-ONCO-NURSE,,2026-07-19
ELIG-00005,EMP-CN-0016,7601190000165,CN-D3-U01,CN,FALSE,unter Schwelle: SK-ONCO-NURSE,2027-10-26,2026-07-19
ELIG-00006,EMP-CN-0024,7601190000240,CN-D4-U02,CN,TRUE,,,2026-07-19
ELIG-00007,EMP-CN-0028,7601190000288,CN-D5-U01,CN,TRUE,,,2026-07-19
ELIG-00008,EMP-CN-0029,7601190000295,CN-D5-U01,CN,TRUE,,,2026-07-19
ELIG-00009,EMP-CN-0034,7601190000349,CN-D6-U01,CN,TRUE,,2027-12-02,2026-07-19
ELIG-00010,EMP-CN-0034,7601190000349,CN-D6-U02,CN,TRUE,,2027-12-02,2026-07-19
ELIG-00011,EMP-CN-0035,7601190000356,CN-D6-U01,CN,TRUE,,2028-01-16,2026-07-19
ELIG-00012,EMP-CN-0035,7601190000356,CN-D6-U02,CN,TRUE,,2028-01-16,2026-07-19
ELIG-00013,EMP-CN-0036,7601190000363,CN-D6-U01,CN,FALSE,abgelaufen: SK-RADPROT (2026-06-04),2026-06-04,2026-07-19
ELIG-00014,EMP-CN-0036,7601190000363,CN-D6-U02,CN,FALSE,abgelaufen: SK-RADPROT (2026-06-04),2026-06-04,2026-07-19
ELIG-00015,EMP-CN-0039,7601190000394,CN-D7-U01,CN,FALSE,unter Schwelle: SK-VENT,2026-05-23,2026-07-19
ELIG-00016,EMP-CN-0039,7601190000394,CN-D7-U02,CN,FALSE,unter Schwelle: SK-VENT,2026-05-23,2026-07-19
ELIG-00017,EMP-CN-0039,7601190000394,CN-D7-U03,CN,FALSE,unter Schwelle: SK-VENT,2026-05-23,2026-07-19
ELIG-00018,EMP-CN-0039,7601190000394,CN-D7-U04,CN,FALSE,unter Schwelle: SK-VENT,2026-05-23,2026-07-19
ELIG-00019,EMP-CN-0039,7601190000394,CN-D7-U05,CN,FALSE,unter Schwelle: SK-VENT,2026-05-23,2026-07-19
ELIG-00020,EMP-CN-0039,7601190000394,CN-D7-U06,CN,FALSE,unter Schwelle: SK-VENT,2026-05-23,2026-07-19
ELIG-00021,EMP-CN-0040,7601190000400,CN-D7-U01,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-09-19,2026-07-19
ELIG-00022,EMP-CN-0040,7601190000400,CN-D7-U02,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-09-19,2026-07-19
ELIG-00023,EMP-CN-0040,7601190000400,CN-D7-U03,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-09-19,2026-07-19
ELIG-00024,EMP-CN-0040,7601190000400,CN-D7-U04,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-09-19,2026-07-19
