skill_id,label_de,label_en,skill_category,skill_type,anchor_authority_id,default_min_assurance,is_safety_critical,has_expiry,typical_validity_months
SK-BLS,Basale Reanimation BLS-AED,Basic life support BLS-AED,clinical,skill,AUTH-SRC,L2,TRUE,TRUE,24
SK-ACLS,Erweiterte Reanimation ACLS/ALS,Advanced life support ACLS,clinical,skill,AUTH-SRC,L2,TRUE,TRUE,24
SK-PALS,Pädiatrische Reanimation PALS,Paediatric advanced life support,clinical,skill,AUTH-SRC,L2,TRUE,TRUE,24
SK-IPC,Infektionsprävention & Hygiene,Infection prevention & control,clinical,skill,AUTH-SWISSNOSO,L2,TRUE,TRUE,12
SK-MEDADMIN,Sichere Medikamentenverabreichung,Safe medication administration,clinical,skill,AUTH-LMS,L1,TRUE,FALSE,0
SK-DOC,Klinische Dokumentation (KIS),Clinical documentation (HIS),digital,skill,AUTH-LMS,L1,FALSE,FALSE,0
SK-DEESC,Deeskalation / Patientensicherheit,De-escalation / patient safety,clinical,transversal,AUTH-LMS,L1,FALSE,TRUE,24
SK-DE-B2,Deutsch Stationssprache B2+,German ward language B2+,language,language,AUTH-FIDE,L2,TRUE,FALSE,0
SK-FR-B2,Französisch B2+,French B2+,language,language,AUTH-FIDE,L2,FALSE,FALSE,0
SK-IT-B2,Italienisch B2+,Italian B2+,language,language,AUTH-FIDE,L2,FALSE,FALSE,0
SK-DATA,Datenschutz DSG / Informationssicherheit,Data protection / infosec,regulatory,knowledge,AUTH-LMS,L1,FALSE,TRUE,12
SK-LIC-NURSE,Berufsausübung Pflege HF/BSc,Nursing practice licence,regulatory,skill,AUTH-GESREG,L4,TRUE,FALSE,0
SK-LIC-MIDWIFE,Berufsausübung Hebamme BSc,Midwifery practice licence,regulatory,skill,AUTH-GESREG,L4,TRUE,FALSE,0
SK-LIC-OTA,Berufsausübung Operationstechnik HF,OR-tech practice licence,regulatory,skill,AUTH-NAREG,L4,TRUE,FALSE,0
SK-LIC-MTRA,Berufsausübung Radiologie HF,Radiography practice licence,regulatory,skill,AUTH-NAREG,L4,TRUE,FALSE,0
