position_id,tenant_id,department_id,occupation_id,planned_fte,headcount_budget,shift_pattern,is_vacant
POS-CN-D1-RN,CN,CN-D1,OCC-RN,2.4,4,3-Schicht,FALSE
POS-CN-D1-ICU-RN,CN,CN-D1,OCC-ICU-RN,1.0,1,3-Schicht,FALSE
POS-CN-D1-PHYS-CARD,CN,CN-D1,OCC-PHYS-CARD,2.0,3,Tagdienst,FALSE
POS-CN-D1-SCRUB,CN,CN-D1,OCC-SCRUB,1.3,1,Tagdienst,FALSE
POS-CN-D2-RN,CN,CN-D2,OCC-RN,3.4,4,3-Schicht,FALSE
POS-CN-D2-PHYS-NEURO,CN,CN-D2,OCC-PHYS-NEURO,2.4,2,Tagdienst,FALSE
POS-CN-D3-RN,CN,CN-D3,OCC-RN,3.6,5,3-Schicht,FALSE
POS-CN-D3-PHYS-INTMED,CN,CN-D3,OCC-PHYS-INTMED,2.2,2,Tagdienst,FALSE
POS-CN-D3-PHYS-ONCO,CN,CN-D3,OCC-PHYS-ONCO,1.4,2,Tagdienst,FALSE
POS-CN-D3-DISCHARGE,CN,CN-D3,OCC-DISCHARGE,0.9,1,Tagdienst,FALSE
POS-CN-D4-RN,CN,CN-D4,OCC-RN,3.0,4,3-Schicht,FALSE
POS-CN-D4-SCRUB,CN,CN-D4,OCC-SCRUB,1.0,1,Tagdienst,FALSE
POS-CN-D4-PHYS-SURG,CN,CN-D4,OCC-PHYS-SURG,1.8,2,Tagdienst,FALSE
POS-CN-D4-ORCOORD,CN,CN-D4,OCC-ORCOORD,1.0,1,Tagdienst,FALSE
POS-CN-D5-MIDWIFE,CN,CN-D5,OCC-MIDWIFE,1.8,3,Tagdienst,FALSE
POS-CN-D5-RN,CN,CN-D5,OCC-RN,2.0,2,3-Schicht,FALSE
POS-CN-D5-PHYS-GYN,CN,CN-D5,OCC-PHYS-GYN,1.2,1,Tagdienst,FALSE
POS-CN-D5-PHYS-PAED,CN,CN-D5,OCC-PHYS-PAED,1.4,1,Tagdienst,FALSE
POS-CN-D6-MTRA,CN,CN-D6,OCC-MTRA,3.1,4,Tagdienst,FALSE
POS-CN-D6-PHYS-RADIOL,CN,CN-D6,OCC-PHYS-RADIOL,2.0,2,Tagdienst,FALSE
POS-CN-D7-ICU-RN,CN,CN-D7,OCC-ICU-RN,4.0,6,3-Schicht,FALSE
POS-CN-D7-ANAES-RN,CN,CN-D7,OCC-ANAES-RN,2.0,2,3-Schicht,FALSE
POS-CN-D7-ER-RN,CN,CN-D7,OCC-ER-RN,2.2,2,3-Schicht,FALSE
POS-CN-D7-PHYS-INTENS,CN,CN-D7,OCC-PHYS-INTENS,2.2,2,Tagdienst,FALSE
POS-CN-D7-PHYS-ANAES,CN,CN-D7,OCC-PHYS-ANAES,0.9,1,Tagdienst,FALSE
POS-CN-D7-BEDMGR,CN,CN-D7,OCC-BEDMGR,1.2,1,Tagdienst,FALSE
POS-CN-D7-CRISIS,CN,CN-D7,OCC-CRISIS,1.0,2,Tagdienst,FALSE
POS-CN-D8-DQ,CN,CN-D8,OCC-DQ,1.4,2,Tagdienst,FALSE
