demand_id,tenant_id,department_id,unit_id,skill_id,min_proficiency,min_assurance,headcount_required,shift_window,effective_date,care_setting_id,source_mode
DEM-0001,CN,CN-D1,CN-D1-U02,SK-ACLS,3,L2,1,Tag,2026-07-19,ops,live
DEM-0002,CN,CN-D1,CN-D1-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0003,CN,CN-D3,CN-D3-U01,SK-ONCO-NURSE,3,L2,2,Tag,2026-07-19,bed,simulated
DEM-0004,CN,CN-D3,CN-D3-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0005,CN,CN-D4,CN-D4-U02,SK-SCRUB,3,L1,1,Tag,2026-07-19,bed,live
DEM-0006,CN,CN-D4,CN-D4-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,simulated
DEM-0007,CN,CN-D5,CN-D5-U01,SK-OBST,3,L4,2,Tag,2026-07-19,bed,live
DEM-0008,CN,CN-D5,CN-D5-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0009,CN,CN-D6,CN-D6-U01,SK-RADPROT,3,L2,1,Tag,2026-07-19,bed,simulated
DEM-0010,CN,CN-D6,CN-D6-U01,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0011,CN,CN-D6,CN-D6-U02,SK-RADPROT,3,L2,1,Tag,2026-07-19,bed,live
DEM-0012,CN,CN-D6,CN-D6-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,simulated
DEM-0013,CN,CN-D7,CN-D7-U01,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,simulated
DEM-0014,CN,CN-D7,CN-D7-U01,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,simulated
DEM-0015,CN,CN-D7,CN-D7-U01,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0016,CN,CN-D7,CN-D7-U01,SK-VENT,3,L2,3,Tag,2026-07-19,bed,simulated
DEM-0017,CN,CN-D7,CN-D7-U01,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,live
DEM-0018,CN,CN-D7,CN-D7-U01,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,live
DEM-0019,CN,CN-D7,CN-D7-U01,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0020,CN,CN-D7,CN-D7-U01,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0021,CN,CN-D7,CN-D7-U02,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0022,CN,CN-D7,CN-D7-U02,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,live
DEM-0023,CN,CN-D7,CN-D7-U02,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0024,CN,CN-D7,CN-D7-U02,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0025,CN,CN-D7,CN-D7-U02,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,simulated
