gap_id,tenant_id,department_id,unit_id,skill_id,shift_window,headcount_required,valid_supply,gap,nearest_expiry_date,redeploy_candidates_count,computed_at,care_setting_id,source_mode
GAP-0001,CN,CN-D1,CN-D1-U02,SK-ACLS,Tag,1,0,1,,9,2026-07-19,ops,live
GAP-0002,CN,CN-D1,CN-D1-U02,SK-DE-B2,Tag,1,5,0,,41,2026-07-19,bed,live
GAP-0003,CN,CN-D3,CN-D3-U01,SK-ONCO-NURSE,Tag,2,0,2,,0,2026-07-19,bed,simulated
GAP-0004,CN,CN-D3,CN-D3-U01,SK-DE-B2,Tag,2,7,0,,39,2026-07-19,bed,live
GAP-0005,CN,CN-D4,CN-D4-U02,SK-SCRUB,Tag,1,1,0,,1,2026-07-19,bed,live
GAP-0006,CN,CN-D4,CN-D4-U02,SK-DE-B2,Tag,1,5,0,,41,2026-07-19,bed,simulated
GAP-0007,CN,CN-D5,CN-D5-U01,SK-OBST,Tag,2,2,0,,0,2026-07-19,bed,live
GAP-0008,CN,CN-D5,CN-D5-U01,SK-DE-B2,Tag,2,5,0,,41,2026-07-19,bed,live
GAP-0009,CN,CN-D6,CN-D6-U01,SK-RADPROT,Tag,1,4,0,2026-08-09,0,2026-07-19,bed,simulated
GAP-0010,CN,CN-D6,CN-D6-U01,SK-DE-B2,Tag,1,5,0,,41,2026-07-19,bed,live
GAP-0011,CN,CN-D6,CN-D6-U02,SK-RADPROT,Tag,1,4,0,2026-08-09,0,2026-07-19,bed,live
GAP-0012,CN,CN-D6,CN-D6-U02,SK-DE-B2,Tag,1,5,0,,41,2026-07-19,bed,simulated
GAP-0013,CN,CN-D7,CN-D7-U01,SK-NDS-IPS,Nacht,3,3,0,,1,2026-07-19,bed,simulated
GAP-0014,CN,CN-D7,CN-D7-U01,SK-NDS-IPS,Tag,3,3,0,,1,2026-07-19,bed,simulated
GAP-0015,CN,CN-D7,CN-D7-U01,SK-VENT,Nacht,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0016,CN,CN-D7,CN-D7-U01,SK-VENT,Tag,3,1,2,2028-01-02,1,2026-07-19,bed,simulated
GAP-0017,CN,CN-D7,CN-D7-U01,SK-ACLS,Nacht,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0018,CN,CN-D7,CN-D7-U01,SK-ACLS,Tag,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0019,CN,CN-D7,CN-D7-U01,SK-DE-B2,Nacht,3,13,0,,33,2026-07-19,bed,live
GAP-0020,CN,CN-D7,CN-D7-U01,SK-DE-B2,Tag,3,13,0,,33,2026-07-19,bed,live
GAP-0021,CN,CN-D7,CN-D7-U02,SK-NDS-IPS,Nacht,3,3,0,,1,2026-07-19,bed,live
GAP-0022,CN,CN-D7,CN-D7-U02,SK-NDS-IPS,Tag,3,3,0,,1,2026-07-19,bed,live
GAP-0023,CN,CN-D7,CN-D7-U02,SK-VENT,Nacht,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0024,CN,CN-D7,CN-D7-U02,SK-VENT,Tag,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0025,CN,CN-D7,CN-D7-U02,SK-ACLS,Nacht,3,9,0,2026-09-19,0,2026-07-19,ops,simulated
GAP-0026,CN,CN-D7,CN-D7-U02,SK-ACLS,Tag,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0027,CN,CN-D7,CN-D7-U02,SK-DE-B2,Nacht,3,13,0,,33,2026-07-19,bed,live
GAP-0028,CN,CN-D7,CN-D7-U02,SK-DE-B2,Tag,3,13,0,,33,2026-07-19,bed,live
GAP-0029,CN,CN-D7,CN-D7-U03,SK-NDS-IPS,Nacht,3,3,0,,1,2026-07-19,bed,live
GAP-0030,CN,CN-D7,CN-D7-U03,SK-NDS-IPS,Tag,3,3,0,,1,2026-07-19,bed,live
GAP-0031,CN,CN-D7,CN-D7-U03,SK-VENT,Nacht,3,1,2,2028-01-02,1,2026-07-19,bed,simulated
GAP-0032,CN,CN-D7,CN-D7-U03,SK-VENT,Tag,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0033,CN,CN-D7,CN-D7-U03,SK-ACLS,Nacht,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0034,CN,CN-D7,CN-D7-U03,SK-ACLS,Tag,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0035,CN,CN-D7,CN-D7-U03,SK-DE-B2,Nacht,3,13,0,,33,2026-07-19,bed,live
GAP-0036,CN,CN-D7,CN-D7-U03,SK-DE-B2,Tag,3,13,0,,33,2026-07-19,bed,live
GAP-0037,CN,CN-D7,CN-D7-U04,SK-NDS-IPS,Nacht,3,3,0,,1,2026-07-19,bed,live
GAP-0038,CN,CN-D7,CN-D7-U04,SK-NDS-IPS,Tag,3,3,0,,1,2026-07-19,bed,simulated
GAP-0039,CN,CN-D7,CN-D7-U04,SK-VENT,Nacht,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0040,CN,CN-D7,CN-D7-U04,SK-VENT,Tag,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0041,CN,CN-D7,CN-D7-U04,SK-ACLS,Nacht,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0042,CN,CN-D7,CN-D7-U04,SK-ACLS,Tag,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0043,CN,CN-D7,CN-D7-U04,SK-DE-B2,Nacht,3,13,0,,33,2026-07-19,bed,live
GAP-0044,CN,CN-D7,CN-D7-U04,SK-DE-B2,Tag,3,13,0,,33,2026-07-19,bed,live
GAP-0045,CN,CN-D7,CN-D7-U05,SK-NDS-IPS,Nacht,3,3,0,,1,2026-07-19,bed,live
GAP-0046,CN,CN-D7,CN-D7-U05,SK-NDS-IPS,Tag,3,3,0,,1,2026-07-19,bed,live
GAP-0047,CN,CN-D7,CN-D7-U05,SK-VENT,Nacht,3,1,2,2028-01-02,1,2026-07-19,bed,live
