sync_id,run_ts,direction,source_system,target_system,record_type,records_in,records_updated,records_rejected,status
SYNC-0001,2026-06-28T01:00:00,inbound,work_id,curavias_bronze,worker_share,95,16,5,success
SYNC-0002,2026-07-04T03:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,45,35,6,partial
SYNC-0003,2026-06-21T02:00:00,inbound,work_id,curavias_bronze,worker_share,276,222,2,success
SYNC-0004,2026-07-04T06:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,121,62,6,partial
SYNC-0005,2026-07-07T02:00:00,inbound,skills_manager,curavias_bronze,skills_inventory,307,268,3,success
SYNC-0006,2026-06-21T01:00:00,inbound,work_id,curavias_bronze,worker_share,240,82,1,success
SYNC-0007,2026-07-10T02:00:00,inbound,work_id,curavias_bronze,worker_share,236,93,5,success
SYNC-0008,2026-06-29T02:00:00,inbound,work_id,curavias_bronze,worker_share,324,12,4,success
SYNC-0009,2026-06-30T04:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,246,159,2,success
SYNC-0010,2026-06-20T02:00:00,inbound,skills_manager,curavias_bronze,skills_inventory,122,87,5,success
SYNC-0011,2026-07-13T02:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,63,14,0,success
SYNC-0012,2026-07-19T03:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,95,36,0,success
SYNC-0013,2026-07-11T01:00:00,inbound,skills_manager,curavias_bronze,skills_inventory,176,115,7,partial
SYNC-0014,2026-06-29T02:00:00,inbound,skills_manager,curavias_bronze,skills_inventory,398,275,3,success
SYNC-0015,2026-07-06T05:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,152,140,7,partial
SYNC-0016,2026-07-12T04:00:00,inbound,skills_manager,curavias_bronze,skills_inventory,375,357,0,success
SYNC-0017,2026-07-07T02:00:00,outbound,curavias_gold,skills_manager,skill_confirmation,289,22,4,success
SYNC-0018,2026-06-20T01:00:00,inbound,work_id,curavias_bronze,worker_share,122,101,4,success
