crosswalk_id,internal_skill_id,esco_uri,snomed_code,skills_manager_skill_code,work_id_skill_label,mapping_confidence
CW-SK-BLS,SK-BLS,esco:skill/bls,,SM-BLS,Basale Reanimation BLS-AED,high
CW-SK-ACLS,SK-ACLS,esco:skill/acls,,SM-ACLS,Erweiterte Reanimation ACLS/ALS,medium
CW-SK-PALS,SK-PALS,esco:skill/pals,,SM-PALS,Pädiatrische Reanimation PALS,low
CW-SK-IPC,SK-IPC,esco:skill/ipc,,SM-IPC,Infektionsprävention & Hygiene,medium
CW-SK-MEDADMIN,SK-MEDADMIN,esco:skill/medadmin,,SM-MEDADMIN,Sichere Medikamentenverabreichung,low
CW-SK-DOC,SK-DOC,esco:skill/doc,,SM-DOC,Klinische Dokumentation (KIS),high
CW-SK-DEESC,SK-DEESC,esco:skill/deesc,,SM-DEESC,Deeskalation / Patientensicherheit,medium
CW-SK-DE-B2,SK-DE-B2,esco:skill/de-b2,,SM-DE-B2,Deutsch Stationssprache B2+,high
CW-SK-FR-B2,SK-FR-B2,esco:skill/fr-b2,,SM-FR-B2,Französisch B2+,low
CW-SK-IT-B2,SK-IT-B2,esco:skill/it-b2,,SM-IT-B2,Italienisch B2+,high
CW-SK-DATA,SK-DATA,esco:skill/data,,SM-DATA,Datenschutz DSG / Informationssicherheit,high
CW-SK-LIC-NURSE,SK-LIC-NURSE,esco:skill/lic-nurse,,SM-LIC-NURSE,Berufsausübung Pflege HF/BSc,high
CW-SK-LIC-MIDWIFE,SK-LIC-MIDWIFE,esco:skill/lic-midwife,,SM-LIC-MIDWIFE,Berufsausübung Hebamme BSc,high
CW-SK-LIC-OTA,SK-LIC-OTA,esco:skill/lic-ota,,SM-LIC-OTA,Berufsausübung Operationstechnik HF,high
CW-SK-LIC-MTRA,SK-LIC-MTRA,esco:skill/lic-mtra,,SM-LIC-MTRA,Berufsausübung Radiologie HF,high
CW-SK-LIC-PARA,SK-LIC-PARA,esco:skill/lic-para,,SM-LIC-PARA,Berufsausübung Rettungssanität HF,high
