specialty_hospital_id,hospital_id,specialty_id,name_de,name_en,fmh_discipline,data_quality
H_USZ__SPEC_INNERE,H_USZ,SPEC_INNERE,Innere Medizin,Internal Medicine,Allgemeine Innere Medizin,explicit
H_LUKS__SPEC_INNERE,H_LUKS,SPEC_INNERE,Innere Medizin,Internal Medicine,Allgemeine Innere Medizin,explicit
H_HSL__SPEC_INNERE,H_HSL,SPEC_INNERE,Innere Medizin,Internal Medicine,Allgemeine Innere Medizin,explicit
H_SZB__SPEC_INNERE,H_SZB,SPEC_INNERE,Innere Medizin,Internal Medicine,Allgemeine Innere Medizin,explicit
H_USZ__SPEC_CHIR,H_USZ,SPEC_CHIR,Chirurgie,Surgery,Chirurgie,explicit
H_LUKS__SPEC_CHIR,H_LUKS,SPEC_CHIR,Chirurgie,Surgery,Chirurgie,explicit
H_HSL__SPEC_CHIR,H_HSL,SPEC_CHIR,Chirurgie,Surgery,Chirurgie,explicit
H_SZB__SPEC_CHIR,H_SZB,SPEC_CHIR,Chirurgie,Surgery,Chirurgie,explicit
H_USZ__SPEC_ORTHO,H_USZ,SPEC_ORTHO,Orthopädie,Orthopaedics,Orthopädische Chirurgie,explicit
H_LUKS__SPEC_ORTHO,H_LUKS,SPEC_ORTHO,Orthopädie,Orthopaedics,Orthopädische Chirurgie,explicit
H_HSL__SPEC_ORTHO,H_HSL,SPEC_ORTHO,Orthopädie,Orthopaedics,Orthopädische Chirurgie,explicit
H_SZB__SPEC_ORTHO,H_SZB,SPEC_ORTHO,Orthopädie,Orthopaedics,Orthopädische Chirurgie,explicit
H_USZ__SPEC_GYN,H_USZ,SPEC_GYN,Gynäkologie,Gynaecology,Gynäkologie & Geburtshilfe,explicit
H_LUKS__SPEC_GYN,H_LUKS,SPEC_GYN,Gynäkologie,Gynaecology,Gynäkologie & Geburtshilfe,explicit
H_HSL__SPEC_GYN,H_HSL,SPEC_GYN,Gynäkologie,Gynaecology,Gynäkologie & Geburtshilfe,explicit
H_SZB__SPEC_GYN,H_SZB,SPEC_GYN,Gynäkologie,Gynaecology,Gynäkologie & Geburtshilfe,explicit
H_USZ__SPEC_GEBH,H_USZ,SPEC_GEBH,Geburtshilfe,Obstetrics,Gynäkologie & Geburtshilfe,explicit
H_LUKS__SPEC_GEBH,H_LUKS,SPEC_GEBH,Geburtshilfe,Obstetrics,Gynäkologie & Geburtshilfe,explicit
H_HSL__SPEC_GEBH,H_HSL,SPEC_GEBH,Geburtshilfe,Obstetrics,Gynäkologie & Geburtshilfe,explicit
H_SZB__SPEC_GEBH,H_SZB,SPEC_GEBH,Geburtshilfe,Obstetrics,Gynäkologie & Geburtshilfe,explicit
H_USZ__SPEC_NEONAT,H_USZ,SPEC_NEONAT,Neonatologie,Neonatology,Pädiatrie/Neonatologie,explicit
H_LUKS__SPEC_NEONAT,H_LUKS,SPEC_NEONAT,Neonatologie,Neonatology,Pädiatrie/Neonatologie,explicit
H_HSL__SPEC_NEONAT,H_HSL,SPEC_NEONAT,Neonatologie,Neonatology,Pädiatrie/Neonatologie,explicit
H_SZB__SPEC_NEONAT,H_SZB,SPEC_NEONAT,Neonatologie,Neonatology,Pädiatrie/Neonatologie,explicit
H_USZ__SPEC_ONKO,H_USZ,SPEC_ONKO,Onkologie,Oncology,Medizinische Onkologie,explicit
H_LUKS__SPEC_ONKO,H_LUKS,SPEC_ONKO,Onkologie,Oncology,Medizinische Onkologie,explicit
H_HSL__SPEC_ONKO,H_HSL,SPEC_ONKO,Onkologie,Oncology,Medizinische Onkologie,explicit
H_SZB__SPEC_ONKO,H_SZB,SPEC_ONKO,Onkologie,Oncology,Medizinische Onkologie,explicit
H_USZ__SPEC_HAEM,H_USZ,SPEC_HAEM,Hämatologie,Haematology,Hämatologie,explicit
H_LUKS__SPEC_HAEM,H_LUKS,SPEC_HAEM,Hämatologie,Haematology,Hämatologie,explicit
H_HSL__SPEC_HAEM,H_HSL,SPEC_HAEM,Hämatologie,Haematology,Hämatologie,explicit
H_SZB__SPEC_HAEM,H_SZB,SPEC_HAEM,Hämatologie,Haematology,Hämatologie,inferred
